"","Mh101","Mh102","Mh103","Mh104","Mh105","Mh106","Mh107","Mh108","Mh109","Mh110","Mh111","Mh112","Mh113","Mh114","Mh115","Mh116","Mh117","Mh118","Mh119","Mh120","Mh121","Mh122","Mh123","Mh124","Mh125","Mh126","Mh127","Mh128","Mh129","Mh130","Mh131","Mh132","Mh133","Mh134","Mh135","Mh136","Mh137","Mh138","Mh139","Mh140","Mh141","Mh142","Mh143","Mh144","Mh145","Mh146","Mh147","Mh148","Mh149","Mh150","Mh151","Mh152","Mh153","Mh154","Mh155","Mh156","Mh157","Mh158","Mh159","Mh160","Mh161","Mh162"
"517",33283,3950,1035,3720,2752,2696,3213,1888,8477,16892,12295,8524,2121,2598,7346,5847,8255,7219,4892,2829,3827,8976,7110,6904,6818,6765,3837,7957,19093,15018,8764,20761,25431,7980,11305,22867,10158,16109,9415,9768,4929,7925,17661,15000,13647,15086,9033,3719,5887,12508,12449,7522,18930,15108,4490,5385,9851,15614,16894,11746,10323,6288
"518",33283,3950,1035,3720,2752,2696,3213,1888,8477,16892,12295,8524,2121,2598,7346,5847,8255,7219,4892,2829,3827,8976,7110,6904,6818,6765,3837,7957,19093,15018,8764,20761,25431,7980,11305,22867,10158,16109,9415,9768,4929,7925,17661,15000,13647,15086,9033,3719,5887,12508,12449,7522,18930,15108,4490,5385,9851,15614,16894,11746,10323,6288
"519",33283,3950,1035,3720,2752,2696,3213,1888,8477,16892,12295,8524,2121,2598,7346,5847,8255,7219,4892,2829,3827,8976,7110,6904,6818,6765,3837,7957,19093,15018,8764,20761,25431,7980,11305,22867,10158,16109,9415,9768,4929,7925,17661,15000,13647,15086,9033,3719,5887,12508,12449,7522,18930,15108,4490,5385,9851,15614,16894,11746,10323,6288
"520",33283,3950,1035,3720,2752,2696,3213,1888,8477,16892,12295,8524,2121,2598,7346,5847,8255,7219,4892,2829,3827,8976,7110,6904,6818,6765,3837,7957,19093,15018,8764,20761,25431,7980,11305,22867,10158,16109,9415,9768,4929,7925,17661,15000,13647,15086,9033,3719,5887,12508,12449,7522,18930,15108,4490,5385,9851,15614,16894,11746,10323,6288
"521",30345,2399,3318,3020,2350,1399,1351,5137,6425,5508,3927,2484,461,459,810,3667,3229,3127,1629,659,877,2403,1962,3459,2031,2447,1814,4546,13824,15922,8042,16163,14286,5898,7449,15339,16567,13570,9278,8050,3644,3861,9685,8832,8224,8501,7719,3104,3110,8681,7835,4912,7183,4677,2280,2760,7005,7669,6692,7243,6200,2232
"522",30345,2399,3318,3020,2350,1399,1351,5137,6425,5508,3927,2484,461,459,810,3667,3229,3127,1629,659,877,2403,1962,3459,2031,2447,1814,4546,13824,15922,8042,16163,14286,5898,7449,15339,16567,13570,9278,8050,3644,3861,9685,8832,8224,8501,7719,3104,3110,8681,7835,4912,7183,4677,2280,2760,7005,7669,6692,7243,6200,2232
"523",30345,2399,3318,3020,2350,1399,1351,5137,6425,5508,3927,2484,461,459,810,3667,3229,3127,1629,659,877,2403,1962,3459,2031,2447,1814,4546,13824,15922,8042,16163,14286,5898,7449,15339,16567,13570,9278,8050,3644,3861,9685,8832,8224,8501,7719,3104,3110,8681,7835,4912,7183,4677,2280,2760,7005,7669,6692,7243,6200,2232
"524",30345,2399,3318,3020,2350,1399,1351,5137,6425,5508,3927,2484,461,459,810,3667,3229,3127,1629,659,877,2403,1962,3459,2031,2447,1814,4546,13824,15922,8042,16163,14286,5898,7449,15339,16567,13570,9278,8050,3644,3861,9685,8832,8224,8501,7719,3104,3110,8681,7835,4912,7183,4677,2280,2760,7005,7669,6692,7243,6200,2232
"525",492757,204845,287234,224816,183518,183204,176468,247826,249532,257950,242201,167014,210265,232302,276752,193735,172520,183798,168608,123044,122675,197275,113185,38329,117143,40361,203486,157003,203642,181184,127913,209162,182765,136524,129802,225872,183377,169848,177336,177276,137041,128202,194275,130635,151126,195503,65778,190208,184314,110397,108505,69310,104043,102749,101333,108560,177321,184603,153090,184865,158222,128365
"526",492757,204845,287234,224816,183518,183204,176468,247826,249532,257950,242201,167014,210265,232302,276752,193735,172520,183798,168608,123044,122675,197275,113185,38329,117143,40361,203486,157003,203642,181184,127913,209162,182765,136524,129802,225872,183377,169848,177336,177276,137041,128202,194275,130635,151126,195503,65778,190208,184314,110397,108505,69310,104043,102749,101333,108560,177321,184603,153090,184865,158222,128365
"527",492757,204845,287234,224816,183518,183204,176468,247826,249532,257950,242201,167014,210265,232302,276752,193735,172520,183798,168608,123044,122675,197275,113185,38329,117143,40361,203486,157003,203642,181184,127913,209162,182765,136524,129802,225872,183377,169848,177336,177276,137041,128202,194275,130635,151126,195503,65778,190208,184314,110397,108505,69310,104043,102749,101333,108560,177321,184603,153090,184865,158222,128365
"528",492757,204845,287234,224816,183518,183204,176468,247826,249532,257950,242201,167014,210265,232302,276752,193735,172520,183798,168608,123044,122675,197275,113185,38329,117143,40361,203486,157003,203642,181184,127913,209162,182765,136524,129802,225872,183377,169848,177336,177276,137041,128202,194275,130635,151126,195503,65778,190208,184314,110397,108505,69310,104043,102749,101333,108560,177321,184603,153090,184865,158222,128365
"529",103,2,4,1,4,0,3,2,0,0,5,0,0,1,0,1,2,1,2,1,0,3,1,1,0,1,1,2,2,3,0,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
"530",103,2,4,1,4,0,3,2,0,0,5,0,0,1,0,1,2,1,2,1,0,3,1,1,0,1,1,2,2,3,0,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
"531",103,2,4,1,4,0,3,2,0,0,5,0,0,1,0,1,2,1,2,1,0,3,1,1,0,1,1,2,2,3,0,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
"532",103,2,4,1,4,0,3,2,0,0,5,0,0,1,0,1,2,1,2,1,0,3,1,1,0,1,1,2,2,3,0,2,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
