"","mh101","mh102","mh103","mh104","mh105","mh106","mh107","mh108","mh109","mh110"
"465",0,0,0,0,0,27200,42262,59467,7317,4
"466",0,0,0,0,0,27283,40681,54267,6540,2
"467",0,0,0,0,0,27162,40899,61774,9130,4
"468",0,0,0,0,0,27298,45591,71288,8405,4
"469",1717366,1000022,669616,729047,1131888,787740,431959,998512,544489,473835
"470",1526678,225799,473820,219440,234800,358173,322733,370530,297719,279364
"471",1582120,986053,945930,545280,508988,393891,353620,798212,515014,420472
"472",1528628,315058,398977,285549,255231,449384,479681,682024,537974,485230
"473",3753890,1265268,2303544,1508868,1840947,1613606,1116080,3689280,1599443,1270785
"474",4183437,3119203,2282101,2580344,3215770,2498799,1164033,1305956,1446947,1249446
"475",3776480,1680745,1264744,654133,850980,679213,421692,1226116,605698,481494
"476",3732021,676879,1600727,473629,653370,1810773,1922902,1456442,1233361,923694
"477",3811298,468793,1062034,414450,507640,486614,649128,1158955,565395,412685
"478",3830355,677046,1161528,459873,507624,1229555,1340250,1667151,681218,516549
"479",3850231,1138597,1520577,953154,887607,853059,854170,2030086,1962155,1705585
"480",4264182,5374557,3174272,3350848,4430045,2464798,978853,2388239,1335992,1060858
"481",138171,50980,61098,25890,100162,144967,103011,142450,78678,85334
"482",152837,61162,19762,7802,19875,77727,65161,64518,33621,36488
"483",147134,58657,27147,9324,19846,52536,48051,92009,42868,47114
"484",185004,103877,144614,75339,193129,217677,126631,160210,70673,78072
"485",14689,6539,4949,2544,10809,15411,11520,12909,11806,13980
"486",14168,994,1176,807,4485,9443,9508,12419,8101,9264
"487",15862,6402,4836,3826,25182,22497,6350,7621,7676,8730
"488",15020,2560,3689,1737,8838,16191,13865,14425,14731,17573
"489",11872,10099,3547,2006,14227,14527,6293,10252,5931,4678
"490",12847,3370,1285,1593,12729,15514,6610,9490,5641,4454
"491",9961,2168,1334,778,7988,11850,7232,10801,7484,6150
"492",10565,3578,3734,1425,8772,11861,6829,10507,6864,5437
"493",151864,64898,98044,38999,118053,163983,110603,124897,52964,60022
"494",167930,79989,31099,12859,27514,57394,40801,50213,18157,20624
"495",163493,80119,43307,12295,23508,67364,68882,89120,64484,71780
"496",203230,139405,238611,120188,224060,267835,166954,234963,110990,136037
"497",15792,14914,12402,7786,15731,21784,17889,20877,12257,8423
"498",14332,2058,2686,1818,5848,12578,16944,23514,7191,4610
"499",18388,14642,10759,10326,40727,31729,6856,9472,5459,4149
"500",16540,5969,8344,5158,11908,23611,23550,26452,13819,11249
"501",25085,22716,6322,3206,19129,21470,11899,14269,7491,6731
"502",28247,7336,2449,2638,18994,22381,13361,15931,5621,5016
