"","Mh101","Mh102","Mh103","Mh104","Mh105","Mh106","Mh107","Mh108","Mh109","Mh110"
"35",0,1203686,4040674,1839098,614318,2038596,2077301,2589271,3142472,1622320
"36",0,1203686,4040674,1839098,614318,2038596,2077301,2589271,3142472,1622320
"37",5355236,2017183,2084439,1095261,368371,5,3,10,3,2
"38",5355236,2017183,2084439,1095261,368371,5,3,10,3,2
"39",5355236,2017183,2084439,1095261,368371,5,3,10,3,2
"40",5355236,2017183,2084439,1095261,368371,5,3,10,3,2
"41",0,0,0,0,14128,134240,272245,259396,43,31
"42",0,0,0,0,14128,134240,272245,259396,43,31
"43",0,0,0,0,14128,134240,272245,259396,43,31
"44",0,0,0,0,14128,134240,272245,259396,43,31
"45",0,0,0,0,37114,334384,696261,615988,45,15
"46",0,0,0,0,37114,334384,696261,615988,45,15
"47",0,0,0,0,37114,334384,696261,615988,45,15
"48",0,0,0,0,37114,334384,696261,615988,45,15
"49",0,0,0,0,26662,233692,494047,478796,47,17
"50",0,0,0,0,26662,233692,494047,478796,47,17
"51",0,0,0,0,26662,233692,494047,478796,47,17
"52",0,0,0,0,26662,233692,494047,478796,47,17
"53",3651671,3588756,2922322,756497,693013,713022,503994,489704,288013,784373
"54",3651671,3588756,2922322,756497,693013,713022,503994,489704,288013,784373
"55",3651671,3588756,2922322,756497,693013,713022,503994,489704,288013,784373
"56",3651671,3588756,2922322,756497,693013,713022,503994,489704,288013,784373
"57",2523109,1127145,1884447,848327,1644290,1762863,1214887,2055676,945367,331708
"58",2523109,1127145,1884447,848327,1644290,1762863,1214887,2055676,945367,331708
"59",2523109,1127145,1884447,848327,1644290,1762863,1214887,2055676,945367,331708
"60",2523109,1127145,1884447,848327,1644290,1762863,1214887,2055676,945367,331708
"61",0,0,0,0,579735,1467152,1133828,684443,44,845862
"62",0,0,0,0,579735,1467152,1133828,684443,44,845862
"63",0,0,0,0,579735,1467152,1133828,684443,44,845862
"64",0,0,0,0,579735,1467152,1133828,684443,44,845862
"65",0,0,0,0,13957,28500,21817,13921,17,17914
"66",0,0,0,0,13957,28500,21817,13921,17,17914
"67",0,0,0,0,13957,28500,21817,13921,17,17914
"68",0,0,0,0,13957,28500,21817,13921,17,17914
"69",2952154,897119,695533,140152,281534,6,12,1,12,3
"70",2952154,897119,695533,140152,281534,6,12,1,12,3
"71",2952154,897119,695533,140152,281534,6,12,1,12,3
"72",2952154,897119,695533,140152,281534,6,12,1,12,3
"73",0,0,0,0,0,0,0,0,0,37189
"74",0,0,0,0,0,0,0,0,0,37189
"75",0,0,0,0,0,0,0,0,0,37189
"76",0,0,0,0,0,0,0,0,0,37189
"77",0,0,0,0,0,0,0,0,0,359639
"78",0,0,0,0,0,0,0,0,0,359639
"79",0,0,0,0,0,0,0,0,0,359639
"80",0,0,0,0,0,0,0,0,0,359639
"81",0,0,0,0,0,0,0,0,0,350776
"82",0,0,0,0,0,0,0,0,0,350776
"83",0,0,0,0,0,0,0,0,0,350776
"84",0,0,0,0,0,0,0,0,0,350776
"85",371172,247805,260706,105022,16856,0,0,0,0,0
"86",371172,247805,260706,105022,16856,0,0,0,0,0
"87",371172,247805,260706,105022,16856,0,0,0,0,0
"88",371172,247805,260706,105022,16856,0,0,0,0,0
"89",621230,316917,318878,144239,26584,0,0,0,0,0
"90",621230,316917,318878,144239,26584,0,0,0,0,0
"91",621230,316917,318878,144239,26584,0,0,0,0,0
"92",621230,316917,318878,144239,26584,0,0,0,0,0
"93",0,771330,365401,0,71244,965017,1160505,873735,499299,471673
"94",0,771330,365401,0,71244,965017,1160505,873735,499299,471673
"95",0,771330,365401,0,71244,965017,1160505,873735,499299,471673
"96",0,771330,365401,0,71244,965017,1160505,873735,499299,471673
"97",0,1609920,1640374,425202,206314,1724966,1254233,930252,511410,472186
"98",0,1609920,1640374,425202,206314,1724966,1254233,930252,511410,472186
"99",0,1609920,1640374,425202,206314,1724966,1254233,930252,511410,472186
"100",0,1609920,1640374,425202,206314,1724966,1254233,930252,511410,472186
"101",0,887155,1341280,191466,179533,642990,62,35,14,471691
"102",0,887155,1341280,191466,179533,642990,62,35,14,471691
"103",0,887155,1341280,191466,179533,642990,62,35,14,471691
"104",0,887155,1341280,191466,179533,642990,62,35,14,471691
"105",615292,363316,447992,233755,347539,129107,121944,440052,217553,97277
"106",615292,363316,447992,233755,347539,129107,121944,440052,217553,97277
"107",615292,363316,447992,233755,347539,129107,121944,440052,217553,97277
"108",615292,363316,447992,233755,347539,129107,121944,440052,217553,97277
"109",579377,260144,289584,153546,593098,424068,269337,651846,1060321,1614000
"110",579377,260144,289584,153546,593098,424068,269337,651846,1060321,1614000
"111",579377,260144,289584,153546,593098,424068,269337,651846,1060321,1614000
"112",579377,260144,289584,153546,593098,424068,269337,651846,1060321,1614000
"113",626478,289105,378907,253395,771798,564232,627546,1334201,894401,610210
"114",626478,289105,378907,253395,771798,564232,627546,1334201,894401,610210
"115",626478,289105,378907,253395,771798,564232,627546,1334201,894401,610210
"116",626478,289105,378907,253395,771798,564232,627546,1334201,894401,610210
"117",15720,0,0,0,3547,28963,54004,99605,54453,46605
"118",15720,0,0,0,3547,28963,54004,99605,54453,46605
"119",15720,0,0,0,3547,28963,54004,99605,54453,46605
"120",15720,0,0,0,3547,28963,54004,99605,54453,46605
"121",26004,0,0,0,2059,54372,53426,277494,145184,153302
"122",26004,0,0,0,2059,54372,53426,277494,145184,153302
"123",26004,0,0,0,2059,54372,53426,277494,145184,153302
"124",26004,0,0,0,2059,54372,53426,277494,145184,153302
"125",23517,0,0,0,5666,79882,95438,239292,98495,89041
"126",23517,0,0,0,5666,79882,95438,239292,98495,89041
"127",23517,0,0,0,5666,79882,95438,239292,98495,89041
"128",23517,0,0,0,5666,79882,95438,239292,98495,89041
"129",13876,2032,700,85,2233,14901,4307,2451,776,1119
